"datetime","city","state","country","shape","duration (seconds)","duration (hours/min)","comments","date posted","latitude","longitude"
"2008-04-27 20:40:00","loveland","co","us","fireball","900.0","10 - 15 min.","we saw 7 fireball type objects in formation&#44 moving from the northwest to the southeast.","2008-06-12 00:00:00","40.3977778","-105.0744444"
"1994-05-01 06:30:00","glencoe","ky","us","sphere","1800.0","30 minutes","Sphere hovering over pond.","2005-06-20 00:00:00","38.7144444","-84.8227778"
"2006-03-27 22:30:00","sydney (australia)","","au","light","3.0","3 seconds","Two faded&#44 glowing lights buzzing about frantically at exceptional speed above the Sydney Opera House","2006-05-15 00:00:00","-33.861481","151.205475"
"2000-01-26 19:37:00","seattle","wa","us","fireball","15.0","8to15sec.","Driving to a meeting in Seattle Capitol Hill area&#44 s. bound I-5 exited at Roanoke&#44 I was stopped at light to turn&#44 very clear winter ni","2000-03-16 00:00:00","47.6063889","-122.3308333"
"2010-10-14 18:30:00","foley","al","us","cylinder","30.0","about 30 seconds","Triangular/Cyinder object with 2 headlights like a car in the sky sitting completely still and had no sound","2010-11-21 00:00:00","30.4063889","-87.6836111"
"2008-03-02 21:50:00","coral gables","fl","us","disk","15.0","10-15 seconds","2 UFOs (saucer type) following each other in the sky","2008-03-04 00:00:00","25.7211111","-80.2686111"
"1997-05-01 23:00:00","syracuse","ny","us","unknown","7200.0","2 hrs","lights over central NY","2006-03-11 00:00:00","43.0480556","-76.1477778"
"2014-01-13 18:00:00","willow springs","nc","us","chevron","600.0","10 minutes","3 objects in formation looking stationary with no noise.  At first looked like three bright lights.  Then they appeared in a chevron sh","2014-01-16 00:00:00","35.5955556","-78.7316667"
"1995-04-19 21:45:00","richmond","va","us","","900.0","15 min.","Family &amp; 12 athletes witness huge&#44 black disc w/ dome in center.  Very close. Returns on second occasion.","1999-11-02 00:00:00","37.5536111","-77.4605556"
"2006-01-21 16:15:00","aurora","co","us","light","600.0","10 minutes","Apparent bright sundog&#44 brilliant aqua green&#44 yellow and pale orange","2006-02-14 00:00:00","39.7294444","-104.8313889"
"1986-06-01 23:00:00","new orleans","la","us","light","30.0","30 sec","two lights circling each other in the night time sky then shooting away from each other in new orleans louisiana.","2006-03-11 00:00:00","29.9544444","-90.075"
"2014-03-19 04:45:00","paradise valley","az","us","light","60.0","1 minute","Beam of light in Paradise Valley.","2014-03-21 00:00:00","33.5311111","-111.9419444"
"2008-07-17 02:49:00","shelby township","mi","us","unknown","900.0","15 min","Very very bright light it flew from the east toward me the the west it did have a sound like a plane but it was going very slow and it","2008-08-12 00:00:00","42.670782","-83.032993"
